year,market_state,annual_return,annual_sharpe
2010,牛市,7.0647628760836305,3.3521435482941726
2011,牛市,1.4706845725515887,1.4655065604072597
2012,牛市,0.9324179179917023,1.481016089775739
2013,震荡市,0.08688982296812187,0.5672966828831156
2014,牛市,0.8024396609219289,1.6677888486780874
2015,震荡市,-0.028147946695675885,0.0759764692878426
2016,牛市,0.17772809836523695,0.6490305442799055
2017,牛市,0.6563460174899549,2.417274276252347
2018,熊市,-0.08170961659333742,-0.020704156710132735
2019,牛市,1.0539226855016333,2.5390402584891776
2020,牛市,0.8430396189651439,1.5143531177579934
2021,牛市,0.39404412651207643,1.3087899402011385
2022,熊市,-0.28766584214076907,-0.6796416090146171
2023,牛市,0.5614279852277391,2.0876477606581036
2024,牛市,0.3600370834923923,1.2966029725119106
2025,震荡市,0.11959476155176674,0.4269999526555547
2026,熊市,-0.08619608132541234,-10.54443760248046
