,strategy,market_state,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,win_rate,profit_factor,num_trades,num_days,num_years
0,S1_BuyHold,牛市,135.05505060150455,3.5418496394607937,8.691933589166677,0.4074869651414769,3.6426409736943848,-0.995811144304455,3.556748345023465,0.540413193185937,2.0538723076386423,2759,2766.0,11.0
1,S1_BuyHold,熊市,-0.37565694896533386,-0.16969729434395114,0.3489632116033649,-0.48628992599033855,-0.7419739398422969,-0.5749561827239593,-0.29514822075654423,0.4883268482490272,0.920905214740496,514,515.0,3.0
2,S1_BuyHold,震荡市,0.20976595938376308,0.18646140590366253,0.4913718438319963,0.37947108334399215,0.49178515520518334,-0.5692531116088322,0.32755447814186267,0.5013262599469496,1.0744264267171606,754,754.0,3.0
3,S2_MACD_Only,牛市,-0.7805425917168934,0.18295573761435802,0.64631412806641,0.283075565997157,0.20774795967209952,-0.9951340340502381,0.18385034714340975,0.5164556962025316,1.116241779677502,1580,2766.0,11.0
4,S2_MACD_Only,熊市,-0.0742077966859469,-0.020647875350749693,0.18491060359244488,-0.11166409578251645,-0.10516428635698938,-0.3258512830913517,-0.06336594766441692,0.46808510638297873,0.971643481534894,235,515.0,3.0
5,S2_MACD_Only,震荡市,-0.1508704178581477,0.0073342671013608175,0.34559038908608014,0.02122242785963006,0.01818005699506064,-0.5732210181566294,0.012794832828960871,0.467005076142132,1.0059328708875046,394,754.0,3.0
6,S3_RSI_Only,牛市,0.9142813674531576,3.0270050105022843,8.677853059109447,0.34881957436750227,1.9797322776560016,-0.995811144304455,3.0397380344809846,0.5303370786516854,2.7581130696617975,890,2766.0,11.0
7,S3_RSI_Only,熊市,-0.06839689681484784,-0.010101279633658653,0.22302267188763375,-0.045292613294257426,-0.045867187916534276,-0.26826080218074333,-0.03765469853047266,0.46745562130177515,0.9865406448159943,169,515.0,3.0
8,S3_RSI_Only,震荡市,-0.35243767548242544,-0.054187206068512454,0.4212361293834587,-0.12863855279418562,-0.12041466499665368,-0.5692531116088322,-0.0951900041711985,0.4902439024390244,0.9677201609734716,410,754.0,3.0
9,S4_Trend_Only,牛市,7.061619781679205,0.32612891709367725,0.5144073182715221,0.6339896527707156,0.6126770100744612,-0.8205856802871145,0.3974343263942506,0.5225933202357563,1.1952597118246941,2036,2766.0,11.0
10,S4_Trend_Only,熊市,-0.3137987489633107,-0.16409092341982534,0.20002372646340155,-0.820357296212303,-0.8004693560394863,-0.422738593217267,-0.3881616820716689,0.43986254295532645,0.822493686751387,291,515.0,3.0
11,S4_Trend_Only,震荡市,0.17310477029967974,0.08755055427209096,0.2613904141389929,0.3349417175854676,0.36269847503480357,-0.36677802114871455,0.23870174662563148,0.4622222222222222,1.082551362276621,450,754.0,3.0
12,S5_Original,牛市,0.227624770663984,0.021290961666037556,0.07243981743692178,0.2939124147376134,0.12794150865296486,-0.12439258968024061,0.17115940524083775,0.4,1.2236637999452833,250,2766.0,11.0
13,S5_Original,熊市,-0.05568056520144726,-0.02737235185530794,0.03626178649106738,-0.7548539248624931,-0.23320393247470883,-0.06576308972209889,-0.4162266701728552,0.2962962962962963,0.5637924952276722,27,515.0,3.0
14,S5_Original,震荡市,-0.012829252657986845,-0.002820333323662095,0.05453961263161848,-0.05171164934213433,-0.01403379504405668,-0.09476582365881707,-0.029761080680478943,0.38461538461538464,0.9493937890688784,39,754.0,3.0
