year,annual_return,annual_sharpe,annual_volatility,days,market_state
2010,0.06494388758391234,1.0849362698746627,0.23293882135986496,70.0,牛市
2011,0.12147299447726922,1.1789815643175545,0.10154568920881633,252.0,牛市
2012,0.08928967247279118,1.4434067285008032,0.06125121289418063,249.0,牛市
2013,0.022667036354763193,0.3968554154980623,0.06105682543135844,252.0,震荡市
2014,-0.008227963142868333,-0.09962190581355006,0.06310113122281978,251.0,牛市
2015,-0.05200730865500225,-0.7797180022724485,0.06565340304053566,252.0,震荡市
2016,0.08506103222491168,1.2710537025417643,0.06593213377140034,252.0,牛市
2017,0.0670709478149305,1.4740430451595714,0.044901556989112745,251.0,牛市
2018,-0.02041404121672319,-0.5839969534952277,0.0344369926651838,251.0,熊市
2019,-0.024199638990985317,-0.3579764355184048,0.06282246517019008,252.0,牛市
2020,0.04795202471788662,0.5513024617208029,0.09212820181360606,253.0,牛市
2021,-0.07074581715215456,-1.4909878190211077,0.048409692139453966,252.0,牛市
2022,-0.025302934252596,-0.6573698662232159,0.0380417068391737,251.0,熊市
2023,0.020489157309428352,0.3276731838208292,0.06986873236844696,250.0,牛市
2024,0.012082491840788467,0.4015333880145389,0.0311147289298366,252.0,牛市
2025,0.03778466466413799,1.2773946438823085,0.029608677772414844,250.0,震荡市
2026,0.0,,0.0,13.0,熊市
