,strategy,market_state,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,win_rate,profit_factor,num_trades,num_days,num_years
0,S1_BuyHold,牛市,-137.05505060150455,3.2317901170182655,8.72802326441102,0.370277440734612,2.1023591965074204,-111.1395293228733,0.029078673777981713,0.5400507430228344,1.895994223799409,2759,2766.0,11.0
1,S1_BuyHold,熊市,-0.37565694896533386,-0.16969729434395114,0.3489632116033649,-0.48628992599033855,-0.7419739398422969,-0.5749561827239593,-0.29514822075654423,0.4883268482490272,0.920905214740496,514,515.0,3.0
2,S1_BuyHold,震荡市,0.20976595938376308,0.18646140590366253,0.4913718438319963,0.37947108334399215,0.49178515520518334,-0.5692531116088322,0.32755447814186267,0.5013262599469496,1.0744264267171606,754,754.0,3.0
3,S2_MACD_Only,牛市,-1.7920100556008118,0.2690116945463063,1.298565549711051,0.207160658625331,0.14363522673234713,-1.5557012578071248,0.17291989268267227,0.5167615433270082,1.1373564088406256,1581,2766.0,11.0
4,S2_MACD_Only,熊市,-0.0742077966859469,-0.020647875350749693,0.18491060359244488,-0.11166409578251645,-0.10516428635698938,-0.3258512830913517,-0.06336594766441692,0.46808510638297873,0.971643481534894,235,515.0,3.0
5,S2_MACD_Only,震荡市,-0.1508704178581477,0.0073342671013608175,0.34559038908608014,0.02122242785963006,0.01818005699506064,-0.5732210181566294,0.012794832828960871,0.467005076142132,1.0059328708875046,394,754.0,3.0
6,S3_RSI_Only,牛市,2.5449772088494163,0.13527397341942612,0.19990603981311356,0.6766877756464482,0.44053214054470397,-0.3175993891932685,0.4259264281428071,0.5455861070911722,1.304200253321267,691,2766.0,11.0
7,S3_RSI_Only,熊市,-0.06839689681484784,-0.010101279633658653,0.22302267188763375,-0.045292613294257426,-0.045867187916534276,-0.26826080218074333,-0.03765469853047266,0.46745562130177515,0.9865406448159943,169,515.0,3.0
8,S3_RSI_Only,震荡市,-0.35243767548242544,-0.054187206068512454,0.4212361293834587,-0.12863855279418562,-0.12041466499665368,-0.5692531116088322,-0.0951900041711985,0.4902439024390244,0.9677201609734716,410,754.0,3.0
9,S4_Trend_Only,牛市,-73.1461268745886,3.0848734746525985,8.718398805741717,0.35383486617072146,1.8402299365160888,-38.835417890669056,0.07943453790911306,0.5235871088276506,2.133933462036898,2141,2766.0,11.0
10,S4_Trend_Only,熊市,-0.3137987489633107,-0.16409092341982534,0.20002372646340155,-0.820357296212303,-0.8004693560394863,-0.422738593217267,-0.3881616820716689,0.43986254295532645,0.822493686751387,291,515.0,3.0
11,S4_Trend_Only,震荡市,0.17310477029967974,0.08755055427209096,0.2613904141389929,0.3349417175854676,0.36269847503480357,-0.36677802114871455,0.23870174662563148,0.4622222222222222,1.082551362276621,450,754.0,3.0
12,S5_Original,牛市,-0.6029597111364673,0.008154542451294119,0.4506472764881007,0.01809517748524425,0.007847836851965353,-0.73635943744675,0.01107413314286994,0.3882783882783883,1.0264365458900553,273,2766.0,11.0
13,S5_Original,熊市,-0.05568056520144726,-0.02737235185530794,0.03626178649106738,-0.7548539248624931,-0.23320393247470883,-0.06576308972209889,-0.4162266701728552,0.2962962962962963,0.5637924952276722,27,515.0,3.0
14,S5_Original,震荡市,-0.012829252657986845,-0.002820333323662095,0.05453961263161848,-0.05171164934213433,-0.01403379504405668,-0.09476582365881707,-0.029761080680478943,0.38461538461538464,0.9493937890688784,39,754.0,3.0
