date,open,high,low,close,volume,daily_return,log_return,rsi,rsi_21,rsi_28,macd,signal,histogram,atr,adx,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_60,ema_60,sma_200,ema_200,momentum_5,momentum_10,momentum_20,volatility_20
2010-09-21,0.1993,0.324,0.1611,0.1961,23914006.0,,,,,,0.0,0.0,0.0,,,,0.1961,,0.1961,,0.1961,,0.1961,,0.1961,,,,
2010-09-22,0.1583,0.3465,0.1476,0.3383,20884021.0,0.7251402345741969,0.5453083425843622,,,,0.011343589743589733,0.0022687179487179466,0.009074871794871786,,,,0.22195454545454543,,0.20964285714285713,,0.2016764705882353,,0.2007622950819672,,0.19751492537313434,,,,
2010-09-23,0.2876,0.5172,0.2758,0.3801,28065128.0,0.12355897132722427,0.11650130020854019,,,,0.02343621886185987,0.006502218131346332,0.016934000730513536,,,,0.2507082644628099,,0.22587687074829932,,0.20867347174163783,,0.2066422198333781,,0.19933169228484446,,,,
2010-09-24,0.4936,0.5447,0.4383,0.5015,23195972.0,0.31938963430676126,0.27716923140678706,,,,0.04232775200167996,0.013667324905413059,0.0286604270962669,,,,0.2963067618332081,,0.2521266925817946,,0.22015686500667164,,0.21630968803556241,,0.20233834211285595,,,,
2010-09-27,0.5608,0.5876,0.4547,0.4601,17248434.0,-0.0825523429710866,-0.08615975024056716,,,,0.05334387908271643,0.021602635740873732,0.031741243341842695,,,,0.3260873505908066,,0.27193367424067133,,0.22956639971229237,,0.22430281301800298,,0.20490313472864843,,,,
2010-09-29,0.3197,0.4118,0.2758,0.3247,16768694.0,-0.294283851336666,-0.3485421780526227,,,,0.050565700823326565,0.0273952487573643,0.023170452065962265,,,,0.3258351050288418,,0.27695903859870263,,0.23329712913533973,,0.22759452406659303,,0.20609514333831364,0.6557878633350331,,,
2010-09-30,0.3829,0.4186,0.1061,0.1954,24029147.0,-0.39821373575608254,-0.5078529395001179,,,,0.03749828821755585,0.029415856649402612,0.00808243156815324,,,,0.30211963138723413,,0.2691915111131119,,0.23181096720846367,,0.2265389659004752,,0.205988724001614,-0.4224061483890038,,,
2010-10-01,0.2811,0.2965,0.1097,0.1515,16014492.0,-0.22466734902763563,-0.2544631146592585,,,,0.02333096166639584,0.028198877652801258,-0.00486791598640542,,,,0.27473424386228246,,0.257982795769006,,0.22866151751401412,,0.2240786719365252,,0.205446547643389,-0.601420678768745,,,
2010-10-05,0.1329,0.399,0.1265,0.3808,17872948.0,1.5135313531353138,0.9216886779677865,,,,0.03025706238367626,0.02861051459897626,0.0016465477846999976,,,,0.2940189267964129,,0.269679672362434,,0.23462773251346455,,0.22921707613532763,,0.20719135811459904,-0.24067796610169478,,,
2010-10-06,0.404,0.4897,0.2493,0.3897,23893058.0,0.023371848739495604,0.02310290942745311,,,,0.036048656251817024,0.030098142929544415,0.005950513322272609,,,0.33182,0.3114154855607014,,0.2811101797564879,,0.2407089979050934,,0.23447881134400542,,0.20900736450151847,-0.15301021517061508,,,
2010-10-07,0.4797,0.5151,0.4404,0.4893,3236436.0,0.25558121632024644,0.2275985859504144,,,,0.04812071804307466,0.03370265795225046,0.014418060090824199,,,0.36114,0.3437581245496648,,0.3009377816844414,,0.2504576646539133,,0.24283360441469376,,0.21179634594926455,0.5069294733600247,1.4951555328913821,,
2010-10-08,0.4797,0.5793,0.4186,0.564,23514402.0,0.15266707541385638,0.14207845320298088,,,,0.06298947622091955,0.039560021605984284,0.023429454614935265,,,0.38371000000000005,0.38380210190427116,,0.3259913262859232,,0.26275344251062255,,0.253363650171589,,0.21530085991991865,1.8863868986693961,0.6671593260419744,,
2010-10-11,0.5879,0.6772,0.5829,0.6101,15241040.0,0.08173758865248226,0.07856862665974786,,,,0.07759845227226903,0.047167707739241234,0.03043074453302779,,,0.40671,0.42494717428531276,,0.35304929521107337,,0.276374876137657,,0.26505992393645494,,0.21922920957245678,3.027062706270627,0.6051039200210471,,
2010-10-12,0.6118,0.7579,0.5076,0.7236,19941320.0,0.18603507621701376,0.17061587536333345,,,,0.09721404943760242,0.05717697607891348,0.040037073358688946,0.18388275651269026,,0.42892,0.47924768805161955,,0.3883398385243045,,0.2939131162891214,,0.2800940247909974,,0.2242478244025816,0.9002100840336134,0.4428713858424729,,
2010-10-13,0.7829,0.8458,0.7686,0.7808,22207569.0,0.0790491984521835,0.07608028157774263,87.60052573825875,,,0.11603750534277707,0.0689490819316862,0.047088423411090874,0.1794768453332124,,0.46098999999999996,0.5340753811331432,,0.425716996760085,,0.31300671957190096,,0.2965106141421122,,0.22978565699559075,1.0035925070567107,0.697022386437731,,
2010-10-14,0.8361,0.864,0.7901,0.8583,15482070.0,0.09925717213114749,0.09463465362529148,88.25130957489172,,,0.13564519865489078,0.08228830527632712,0.053356893378563655,0.17259992780941152,,0.51435,0.5930253118362081,,0.4669153780210293,,0.3343907697847676,,0.31492993826860033,,0.23603953105533612,0.7541385652973633,1.6433631044040653,,
2010-10-15,1.0415,1.3115,0.9511,1.3022,32935492.0,0.5171851334032391,0.41685673207858753,91.1246500892912,,,0.18487236351589276,0.10280511692424026,0.0820672465916525,0.19264279010873928,,0.62503,0.7219661642296248,,0.5464662943999788,,0.372344072930463,,0.34729944848930194,,0.24664809293538253,1.3088652482269505,5.6642784032753335,,
2010-10-18,1.4354,1.4543,1.2861,1.4186,38795950.0,0.08938719090769465,0.08561532796522466,91.69801622014316,,,0.23061931759769327,0.12836795705893086,0.10225136053876241,0.19089687652954362,,0.7517400000000001,0.8486268616424202,,0.6295266473142666,,0.4133737171292684,,0.38242405673555435,,0.25830930594100066,1.3251925913784626,8.363696369636964,,
2010-10-19,0.9001,1.2676,0.7765,1.1147,43880778.0,-0.21422529254194278,-0.2410851593724086,77.6023988905236,,,0.23959007287434386,0.15061238022201348,0.08897769265233038,0.22312567106314765,,0.82513,0.8970037958892528,,0.6757336332843364,,0.44087670861439515,,0.4064331040557001,,0.26683060637939865,0.5404919845218352,1.9272584033613445,,
