year,annual_return,annual_volatility,annual_sharpe,market_state
2010,7.0647628760836305,3.8887509241156755,3.3521435482941726,牛市
2011,1.4706845725515887,1.2079634147388827,1.4655065604072597,牛市
2012,0.9324179179917023,0.6032007770255219,1.481016089775739,牛市
2013,0.08688982296812187,0.6891053174765978,0.5672966828831156,震荡市
2014,0.8024396609219289,0.3826378138278564,1.6677888486780874,牛市
2015,-0.028147946695675885,0.37899760011070815,0.0759764692878426,震荡市
2016,0.17772809836523695,0.34685976408512204,0.6490305442799055,牛市
2017,0.6563460174899549,0.22144171308683588,2.417274276252347,牛市
2018,-0.08170961659333742,0.3384647749054868,-0.020704156710132735,熊市
2019,1.0539226855016333,0.3025734098506137,2.5390402584891776,牛市
2020,0.8430396189651439,0.5015834181571673,1.5143531177579934,牛市
2021,0.39404412651207643,0.2597586467901388,1.3087899402011385,牛市
2022,-0.28766584214076907,0.3657331370196682,-0.6796416090146171,熊市
2023,0.5614279852277391,0.20660333931241706,2.0876477606581036,牛市
2024,0.3600370834923923,0.228849995091013,1.2966029725119106,牛市
2025,0.11959476155176674,0.32620088730769625,0.4269999526555547,震荡市
2026,-0.08619608132541234,0.1695736216161228,-10.54443760248046,熊市
