entry_date,exit_date,entry_price,exit_price,holding_days,pnl_pct,entry_position,entry_reason,exit_reasons
2010-12-07,2010-12-17,1.4029,1.5118,10,0.07762491980896713,1.0,score_high,macd_dead
2010-12-21,2010-12-30,1.6401,1.6208,9,-0.011767575147856535,1.0,score_high,macd_dead
2011-01-04,2011-01-05,1.8933,1.9901,1,0.05112766069825181,1.0,score_high,rsi_breach
2011-04-26,2011-04-28,2.5765,2.4454,2,-0.05088298078789044,1.0,score_high,strength_filter_fail
2011-07-11,2011-07-18,2.7043,3.4115,7,0.2615094479162816,1.0,score_high,rsi_breach
2012-05-23,2012-05-31,10.4386,10.6947,8,0.02453394133312914,1.0,score_high,strength_filter_fail
2012-08-10,2012-08-17,12.2786,13.2218,7,0.07681657517958085,0.5,score_mid,rsi_breach
2012-08-23,2012-08-24,13.7404,13.7614,1,0.001528339786323496,1.0,score_high,rsi_breach
2013-10-25,2013-10-29,9.2661,8.9346,4,-0.03577556900961576,0.5,score_mid,entry_score_fail;score_percentile_low
2013-12-02,2013-12-03,10.2779,10.8168,1,0.05243288998725415,1.0,score_high,rsi_breach
2013-12-06,2013-12-13,10.5918,10.3921,7,-0.018854207972204717,0.5,score_mid,factor_score_drop;macd_dead
2014-02-18,2014-02-19,10.1979,9.8918,1,-0.030015983682915137,1.0,score_high,strength_filter_fail
2014-05-07,2014-05-09,11.8546,11.7296,2,-0.010544430010291261,0.5,score_mid,score_percentile_low
2014-05-12,2014-05-13,11.99,12.0232,1,0.002768974145120895,0.5,score_mid,rsi_breach
2014-07-24,2014-07-28,15.075,15.5725,4,0.03300165837479274,1.0,score_high,rsi_breach
2014-07-29,2014-07-31,15.4125,14.7175,2,-0.045093268450932644,1.0,score_high,factor_score_drop;macd_dead
2014-08-18,2014-08-19,15.725,16.0675,1,0.021780604133545323,1.0,score_high,rsi_breach
2014-10-30,2014-10-31,17.68,17.935,1,0.014423076923076872,1.0,score_high,rsi_breach
2014-11-04,2014-11-06,18.085,18.2275,2,0.00787945811445967,0.5,score_mid,rsi_breach
2015-07-20,2015-07-22,24.3175,22.585,2,-0.07124498817723857,1.0,score_high,factor_score_drop;stop_loss
2015-10-30,2015-11-09,21.305,21.7025,10,0.01865759211452711,1.0,score_high,score_percentile_low
2016-07-29,2016-08-01,17.885,18.345,3,0.025719876991892487,1.0,score_high,rsi_breach
2016-08-02,2016-08-05,17.9525,18.845,3,0.04971452443949298,1.0,score_high,rsi_breach
2016-09-16,2016-09-23,20.705,20.1525,7,-0.02668437575464877,1.0,score_high,factor_score_drop
2016-09-28,2016-09-29,20.4625,20.02,1,-0.02162492364080626,1.0,score_high,factor_score_drop;macd_dead
2016-10-11,2016-10-19,21.05,21.255,8,0.009738717339667469,1.0,score_high,entry_score_fail;score_percentile_low
2016-11-21,2016-12-23,20.05,21.2475,32,0.0597256857855355,1.0,score_high,score_percentile_low
2017-05-01,2017-05-02,28.905,29.1375,1,0.00804359107420849,1.0,score_high,rsi_breach
2017-05-03,2017-05-05,29.025,29.5,2,0.01636520241171402,1.0,score_high,rsi_breach
2017-07-14,2017-07-28,29.6775,29.7925,14,0.0038749894701373133,1.0,score_high,score_percentile_low
2017-08-02,2017-08-08,31.7025,32.4375,6,0.02318429145966383,0.5,score_mid,rsi_breach
2017-08-31,2017-09-01,33.575,33.5875,1,0.00037230081906169943,0.5,score_mid,score_percentile_low
2017-11-02,2017-11-03,34.6025,35.7,1,0.03171736146232229,0.5,score_mid,rsi_breach
2018-02-23,2018-03-02,36.765,36.9425,7,0.004827961376309142,0.5,score_mid,strength_filter_fail
2018-05-07,2018-05-09,39.18,39.73,2,0.0140377743746809,1.0,score_high,rsi_breach
2018-05-14,2018-05-17,40.11,39.82,3,-0.0072301171777612305,0.5,score_mid,score_percentile_low
2018-10-03,2018-10-04,51.2725,50.2525,1,-0.019893705202594036,1.0,score_high,entry_score_fail
2019-06-17,2019-06-26,42.285,43.7625,9,0.034941468605888204,1.0,score_high,strength_filter_fail
2019-08-21,2019-08-23,47.165,44.665,2,-0.05300540655146824,1.0,score_high,factor_score_drop;stop_loss
2019-09-18,2019-09-19,49.6975,49.245,1,-0.0091050857689019,0.5,score_mid,score_percentile_low
